group,duration
test,1659
control,1561
control,1907
test,1438
control,1581
control,2080
test,1446
test,1590
control,1535
test,1603
control,1637
test,1351
test,1887
control,1456
test,1354
control,2093
control,1787
control,1731
test,1217
test,1105
control,1291
control,1603
test,1576
control,1530
test,1201
test,1098
control,1725
control,1453
control,1400
control,1771
control,1148
test,1601
test,1171
test,1428
control,533
control,2103
control,1934
test,1835
control,1422
control,1193
control,1372
control,2160
test,1429
control,2040
control,986
control,1335
control,1712
control,1082
control,1242
control,1212
control,1362
control,1351
test,2028
test,1362
test,1218
test,1524
control,1651
test,1671
test,1528
control,1212
test,956
test,1291
control,1547
control,868
test,1707
control,1355
control,1801
control,1935
control,1525
control,1137
control,1468
test,1140
test,1512
test,1413
test,1800
control,2371
test,1381
control,1553
control,1618
control,1499
test,1886
test,1181
control,1687
control,1319
test,1422
test,1663
test,1756
test,2193
test,1645
test,1042
test,1279
test,1725
test,1928
test,1223
control,2163
test,1253
control,1485
control,1248
control,974
control,1538
control,1754
control,1159
control,1324
test,2521
test,1845
control,1500
test,1272
test,1788
test,1530
test,1293
control,1589
control,1645
test,1737
test,1135
test,1552
test,1619
control,1242
control,1862
test,1180
control,1467
test,1762
test,1463
control,1039
control,933
control,1718
test,1486
control,1634
control,1530
test,1464
test,1667
test,1265
test,1119
test,1835
test,1746
control,1269
test,1587
test,1485
control,1553
test,1610
control,1232
test,1424
test,1420
test,1443
control,1743
control,2009
test,823
test,1046
test,1616
test,1241
test,1224
control,1211
control,1085
control,1673
test,1389
test,1854
control,2110
control,1623
control,1201
control,1393
control,1011
test,1764
test,1636
test,1934
control,1501
test,1642
control,1515
test,1746
control,1192
control,1464
test,1152
test,1845
test,1496
test,1241
control,1588
test,1361
control,2012
test,1348
control,1282
control,1129
control,1582
control,1903
test,1017
test,2119
control,1686
test,1840
test,1356
test,1812
control,1144
test,1695
test,1968
test,1524
test,1435
control,1343
test,1903
test,2186
test,1646
control,2056
test,1648
control,1649
control,1785
control,1626
test,1490
test,1141
control,1456
control,1866
control,1597
control,1513
control,1609
test,1489
test,1406
test,1783
control,1879
test,1631
test,1378
control,1364
test,979
test,1172
control,1738
test,1790
control,1063
test,1289
test,1459
control,946
control,1843
control,1842
test,718
control,1577
control,1603
control,1389
test,1571
control,1614
test,1045
test,1644
control,1113
test,1757
test,1238
control,1617
control,584
test,1996
test,1826
control,1738
test,1418
control,1410
control,1613
test,1492
test,1623
test,1455
control,1219
control,1592
control,1528
test,1568
control,1967
test,1302
test,1994
control,706
control,1187
control,1462
control,894
control,1955
test,1643
control,1540
test,1800
control,1809
control,1858
control,1413
test,1935
control,1293
test,2073
test,1106
control,1117
control,793
test,1722
test,1631
test,871
control,1949
control,1145
control,1286
test,1193
test,1947
control,1399
test,1811
test,1735
control,1344
test,1610
test,1680
test,1410
control,1256
test,1358
control,1331
test,1258
test,1035
test,1911
control,1749
control,1185
control,1038
test,1520
control,1867
test,1390
test,1412
control,869
control,1921
test,1419
control,1325
test,1428
control,1218
control,1342
test,1389
test,1210
test,1399
test,1330
test,1336
control,1482
test,2126
test,1159
control,1223
control,1740
control,1161
test,1471
test,2196
control,1628
control,1274
control,1627
control,1946
test,2031
test,1233
control,1352
control,1774
control,1270
test,1492
control,1995
test,559
control,1635
control,1904
control,1517
test,1675
test,1381
test,1014
test,1855
control,989
control,1567
control,1117
control,1750
control,1476
control,1382
control,1543
test,2122
control,1324
control,1667
test,1000
test,1542
test,909
test,1551
test,1680
control,1260
control,1741
control,1129
test,1557
control,1481
test,1338
test,1278
test,867
test,990
test,1499
control,986
test,1407
test,1957
test,1166
control,1332
test,1514
control,1720
test,1460
control,1842
control,1705
control,1771
test,2059
control,1419
test,1218
test,1100
control,2048
control,1867
control,1681
control,1472
test,1579
test,1321
control,1167
test,1937
test,1427
control,1148
control,1198
control,1160
control,1298
test,1329
control,1137
test,1720
test,1310
test,1543
control,1030
test,1710
control,2004
test,1568
test,1608
control,1720
control,1475
control,1632
control,1437
control,1322
control,1902
control,1300
control,1314
control,2081
test,1503
control,1850
test,1220
test,2238
control,1550
test,1581
test,1575
control,1352
control,1677
test,846
test,1524
control,1295
test,1570
test,1653
control,1738
test,1462
control,1335
test,1468
control,1445
test,1786
control,1388
test,1350
control,965
control,1752
control,1336
control,1607
test,1003
control,2002
control,1588
control,1828
control,960
test,1999
test,1687
test,997
control,1503
test,1600
control,1667
control,1412
test,1568
test,1354
control,1232
control,1712
test,1648
test,1233
test,1922
control,1320
test,1058
test,1982
control,1896
control,1630
test,1980
test,1702
test,1370
test,1879
test,1452
test,1940
test,1325
control,1859
test,1131
test,1366
control,967
control,1334
control,2409
control,1855
test,1700
control,1300
test,1258
test,1683
test,1590
control,1614
control,1891
test,1247
control,1468
control,1860
control,1365
test,1571
control,1813
control,1743
control,1288
control,1839
control,1225
control,1965
control,1491
control,1613
test,1408
test,1602
control,1753
control,1383
control,985
test,1537
test,1902
test,1610
test,1549
control,1416
test,1428
test,1585
test,1125
control,1209
control,1323
test,1234
test,1559
test,1743
control,1470
test,1505
test,1787
test,1099
test,970
test,1499
control,1275
test,1585
control,1544
test,1514
control,1748
control,1975
control,394
test,1561
test,1393
test,1696
test,1733
control,1785
test,1567
control,1346
test,1648
control,1913
control,1696
control,1289
test,1595
control,1259
control,1790
test,2133
control,1597
test,1348
control,1592
test,1235
control,1438
control,1534
test,1735
control,1127
test,1288
control,1183
control,820
control,1814
test,1900
test,2017
control,1340
test,1617
test,1708
test,1161
test,1718
test,1271
control,2153
control,1348
test,1734
test,1090
test,1137
control,856
test,1672
control,1236
test,1575
control,2183
test,1425
control,1685
test,1861
control,1571
control,1426
test,1629
test,1839
test,1898
test,1869
test,1413
control,1452
control,1212
control,1344
test,1478
control,1526
control,1433
control,1829
test,1132
control,1431
test,1577
control,1432
test,1888
control,1604
test,1884
control,937
control,1544
test,2183
control,1776
control,1393
control,1075
test,1112
test,1517
control,1577
test,1786
control,1029
control,1514
control,1784
test,1522
control,1574
test,1258
control,2060
test,1532
test,1058
control,1584
test,1550
test,2258
control,2093
control,1756
control,1383
test,1363
control,1505
control,1487
control,1480
control,1447
test,1728
control,1129
control,1998
test,1506
test,1359
test,1278
test,1851
test,1220
test,1811
test,1282
control,1592
test,1628
test,1462
test,1900
control,1612
control,1748
control,1825
control,1816
control,1371
test,1514
control,1729
test,1428
control,1747
test,1681
control,1478
test,1101
control,1523
test,1320
control,1821
test,1984
control,1650
test,1636
test,1573
control,1890
test,1693
control,1546
test,1242
control,1869
control,1545
control,1402
test,1186
control,1321
control,1304
control,1366
test,1277
control,1692
test,1633
control,1643
test,1462
control,2288
test,1619
test,1587
control,1572
test,1509
control,1418
control,1472
control,1335
test,1504
test,1462
test,1753
test,1454
control,1169
test,1945
control,1369
control,1537
test,1402
control,1431
control,1459
test,1172
control,1128
test,1388
test,1123
control,1412
control,1719
control,1050
test,1323
test,1142
test,1644
test,2029
test,1885
test,973
test,1465
test,1473
control,1500
test,1857
test,1485
test,1385
test,1579
test,1834
control,1496
test,1601
control,1424
control,1501
control,1760
test,1523
test,1654
control,1472
test,1224
test,1699
control,1432
test,1375
control,1584
test,1626
control,1735
test,1423
control,1604
test,923
test,1246
test,992
test,1477
test,1608
test,1857
test,1689
control,1671
test,1913
test,1822
test,1378
control,1180
control,1014
control,1030
test,1325
control,1193
test,1000
control,1099
test,2046
test,1390
control,1093
control,1278
test,1577
test,1422
control,1086
test,1679
test,1299
control,1143
test,1482
control,1457
control,1186
control,1230
control,1497
control,1122
test,1936
control,2469
test,1631
control,1432
control,1209
control,1593
control,1642
control,1471
test,1836
test,1185
test,2108
test,1968
test,1256
control,1735
control,1013
test,1305
test,1759
test,2137
control,1294
test,2073
control,1777
test,1885
test,1671
test,1415
control,1526
control,1634
test,1445
test,1727
control,1027
control,1688
test,1655
control,2187
control,1059
test,1599
control,1572
control,1738
test,1657
test,1692
test,1596
test,1851
control,1158
test,1198
control,1580
control,1493
control,1243
test,1600
test,1576
test,1967
control,1558
test,1449
control,1264
test,1823
test,1228
test,1942
control,1961
test,970
control,1234
control,1545
control,1667
test,1140
test,1385
test,2181
test,1925
control,1402
control,1147
control,1320
test,1457
control,1597
control,1189
test,1464
control,1311
control,1737
test,927
control,1520
control,1567
test,1488
test,1150
test,1654
test,1838
control,1473
control,1368
control,1754
test,1475
test,1534
control,1109
test,1401
test,1612
test,1306
test,1934
control,1118
test,1570
control,1520
test,1226
control,1410
test,1497
test,2026
control,1500
control,1832
control,1742
control,1233
control,1594
control,1241
test,1146
test,2065
test,1128
test,1231
control,1574
test,1454
test,1907
test,1438
test,1323
test,1184
control,1336
control,1449
control,2198
test,1544
control,1759
test,1435
control,1617
test,1525
test,1606
test,1495
test,1876
control,1538
control,1491
test,2300
control,1400
test,1288
test,1335
control,1682
test,1901
test,1553
control,1223
test,1287
control,1943
control,1378
control,1855
test,1245
control,996
control,1126
test,1071
control,1672
control,1627
test,1820
control,2021
test,1663
control,1319
control,1456
test,1371
test,1882
test,2084
test,1236
test,1363
control,1697
test,1413
test,1797
test,1534
control,1656
test,1247
test,979
test,1638
control,1460
control,1342
control,1568
test,1283
control,1791
test,1457
test,1972
test,1382
test,1761
control,1415
control,1498
test,2029
control,1601
test,1411
control,1591
test,991
test,1436
control,2039
control,1645
test,1251
test,1500
control,855
control,1734
control,1244
control,1314
test,1552
test,1857
control,1696
control,1285
control,1408
control,1705
control,1795
control,1640
control,1205
test,1302
test,1546
test,1108
test,1410
test,1918
control,936
test,1683
test,1533
control,1243
control,1374
test,1530
test,1476
test,1285
test,1616
control,1729
control,1456
test,969
control,1470
test,1455
test,2209
test,1790
control,1196
test,1450
control,1680
control,1675
test,1729
test,2002
control,1976
test,1529
test,1554
control,1215
test,1762
control,1084
test,1583
test,1478
test,926
control,1288
control,1673
control,1679
test,1408
test,834
test,1504
control,1161
control,1472
control,1695
test,1684
test,1514
control,1790
test,1742
control,1219
control,1747
control,1445
control,905
control,1769
test,1644
control,1958
control,1672
control,1471
control,1780
control,1470
control,1925
test,1400
control,1857
test,1191
test,1559
control,1686
test,1454
test,1184
control,1840
control,1262
control,1240
control,1270
test,1219
test,1646
control,1469
test,1316
test,1320
test,1613
test,2044
test,1533
control,1277
test,1516
control,1185
test,1614
control,1033
control,1578
control,1221
test,2128
control,1751
control,1601
test,1477
control,1348
control,1377
control,1366
control,1075
test,1566
control,1541
test,1484
control,1537
test,1376
control,1351
control,1214
control,1359
control,1172
test,1570
control,2064
control,2031
control,2135
test,1982
control,1644
control,1287
control,1731
control,1855
test,1182
control,1522
control,1235
control,1360
test,1373
control,1288
test,1753
control,1415
test,1407
control,1372
control,1751
test,1978
control,1641
test,1275
control,1490
test,1377
control,1405
test,1310
control,1191
control,1571
control,1289
control,1764
test,1830
control,1865
test,1145
test,1664
test,1110
control,1704
control,1363
control,1454
test,1414
test,1833
test,1867
control,1193
control,1046
control,1779
test,1583
test,1290
test,1729
test,1665
test,1525
test,1403
control,1819
control,1004
control,1385
test,1610
control,1570
test,1385
control,1741
control,1460
control,1448
test,1247
control,1902
control,1268
test,1663
test,1592
test,1763
test,1539
test,1560
control,1888
test,1640
control,1329
control,1535
test,1509
control,1214
test,812
test,1274
test,1204
test,1129
test,1836
control,1383
control,1948
test,1204
control,1532
control,1417
control,1199
control,1153
test,992
control,934
control,1819
test,1518
test,1972
control,1302
test,1621
test,1620
test,1717
test,1480
control,1442
test,1452
control,1682
control,1662
test,1239
control,1380
control,1148
control,1493
test,1922
control,1583
control,1634
control,1757
test,1777
control,1582
test,1449
control,1706
control,1852
control,1373
control,1622
control,1694
control,2145
control,1293
test,1875
test,1335
test,1890
test,1676
control,1463
control,2114
control,1191
test,1921
control,1829
control,1669
control,1669
control,1552
control,1543
test,1153
control,1464
control,2003
test,1786
control,1094
test,1884
control,1819
control,1962
test,1255
test,1554
control,1269
test,1722
test,1612
control,1299
control,1701
test,1681
control,1261
control,1751
control,1866
control,1435
test,1251
test,1714
control,1296
test,1316
test,924
test,1167
test,1867
control,1459
test,1470
test,1532
test,1602
control,1418
test,1513
test,1254
test,1828
test,1620
control,1062
control,1875
test,1453
test,1518
control,1227
test,1608
test,1305
test,1531
test,1363
control,941
control,1579
test,1355
control,1150
test,1144
test,1449
control,1602
test,1836
control,1631
test,1288
test,1811
control,1806
control,1210
test,1042
test,1951
control,1619
control,1636
control,1022
control,1568
control,1928
control,1677
control,1741
control,1421
control,1584
control,1715
control,1100
test,1029
control,1653
test,1529
test,2070
test,1455
test,1220
control,1502
control,1815
control,1938
control,979
test,1928
test,782
control,927
control,2047
control,1617
control,1186
control,1288
control,1799
test,1795
test,1075
test,1193
test,1800
test,1505
control,1445
control,1103
control,1812
control,1865
test,1670
control,2093
control,1729
test,1533
control,1426
test,1807
control,969
test,1438
test,1695
control,1668
test,1666
test,1934
control,1574
control,1480
test,1617
control,1139
test,1456
test,2394
test,1284
control,1294
control,1578
test,1539
test,1729
control,1537
test,2147
test,1355
test,1747
test,1407
test,1348
test,1680
control,1811
test,1942
control,1866
test,1705
control,1930
test,2189
control,1586
control,1172
test,1383
test,1663
test,1638
test,1356
test,1330
control,1067
control,1736
test,1737
test,2063
test,1201
control,1304
test,2034
test,1941
control,1539
test,1825
test,1777
test,1521
test,1277
test,1227
test,1930
control,1485
test,1697
control,1392
control,1452
test,1321
test,1606
control,1955
control,933
control,1673
control,1632
control,1223
control,1280
control,1997
control,1023
test,1285
test,1556
control,1676
test,1529
control,1515
control,2037
test,1394
control,1043
test,1041
test,1685
test,1840
test,2255
control,1417
test,2130
control,1415
control,1348
test,1733
test,1904
control,1483
test,1527
test,1373
control,1734
test,1705
control,2106
test,1161
test,2032
test,1173
test,1216
control,1151
control,1900
control,1907
control,1404
control,1603
control,1440
control,1603
test,1163
control,1714
test,1492
test,1365
test,1651
test,1920
control,1703
control,1742
control,1356
test,820
test,962
control,1528
control,1146
control,1985
test,1621
test,1798
control,1713
test,1006
control,1795
control,1393
test,1205
control,1682
control,1200
control,1309
test,1510
test,1656
control,1547
test,1327
control,1241
control,1333
control,1981
control,1609
control,1549
test,1798
control,1792
control,1196
control,1773
test,1178
test,1728
test,1498
control,934
control,1124
control,1435
test,1849
control,1840
control,1267
test,1979
control,1741
control,1128
control,2142
test,1726
control,1531
control,1455
control,1419
test,1776
control,1088
control,1481
control,1251
control,1301
control,1442
control,1195
test,1597
control,739
control,1361
test,1706
test,1219
test,1579
test,1683
control,1728
test,1992
test,1382
test,1423
control,1734
control,1735
control,1079
test,1175
control,1146
test,1844
control,1763
test,1131
control,1759
control,1177
control,1545
control,1058
test,1810
control,1400
test,1557
test,1024
control,1482
control,1190
control,1756
test,1914
control,1139
control,1591
control,1620
control,825
test,1428
control,1754
control,1607
test,1567
test,1125
control,1188
test,2247
test,984
test,1398
test,1823
test,1564
control,1139
control,1808
control,1400
control,1428
control,2042
test,1747
control,1709
control,1576
control,1134
control,1194
control,1304
control,1501
control,1544
control,1370
test,1472
control,987
control,1530
test,1525
control,1345
control,1773
control,1355
test,1513
control,910
test,1526
test,1790
test,1244
control,1413
test,1810
test,2020
test,2046
control,1447
test,1311
test,1148
control,1618
control,1913
test,1296
control,1461
control,1777
test,1490
test,1981
test,648
control,1398
control,1484
control,1436
control,1363
control,1565
control,1667
test,1531
control,1738
control,1327
test,1517
control,2010
test,950
test,1419
test,1196
test,1765
control,1357
control,1470
control,1835
control,1478
control,1083
control,1745
control,1422
control,839
control,1715
control,1427
control,1335
test,1462
test,1777
test,1258
test,2262
test,1114
test,1384
control,1317
test,1750
test,1517
test,1750
control,1031
control,1547
test,1320
control,1035
control,1428
test,939
control,1746
control,1211
control,1427
control,1181
control,1926
test,971
control,740
test,1685
control,1590
control,1859
control,1424
test,1229
control,1794
control,1806
test,1861
control,1952
test,2139
control,1129
test,1464
control,1490
control,1675
control,1324
test,1418
control,1725
control,1384
control,987
test,1598
test,1603
test,1211
control,1538
test,1534
control,2035
test,856
control,1141
test,1722
test,1426
control,1631
test,1341
control,1491
test,1839
test,1548
test,2020
control,772
test,1240
control,1643
control,1531
test,1484
control,1772
test,2242
control,1398
control,1294
test,1382
control,1846
test,1624
test,1500
control,1775
control,1474
test,1422
control,1362
test,1920
test,1194
test,1610
control,1435
control,1907
test,1852
control,1070
test,1187
test,1442
test,2114
test,1123
control,1867
test,1897
test,1708
test,1461
test,1762
test,2106
test,1685
control,1644
test,1449
control,1456
test,1387
test,1438
test,1881
test,1875
test,1502
test,1515
test,1063
test,1761
control,1547
control,1653
control,1742
test,2061
test,1104
test,1424
test,1279
test,1363
control,1933
test,1180
control,1477
control,2456
test,1163
test,1708
control,1427
control,1843
control,1696
control,1587
control,1232
control,1610
control,1503
test,1030
control,1281
control,1288
test,1569
test,1380
test,1331
control,1045
control,1108
control,1491
control,2093
control,1221
test,1285
test,1291
control,1594
control,1876
test,1782
control,1515
control,1135
test,1828
test,1820
test,1643
control,1621
test,1166
control,1116
test,1956
test,1638
test,1629
test,1677
test,1688
control,1237
control,1052
test,798
test,1347
control,1209
test,1445
control,1164
control,1326
control,2055
control,1326
test,1442
test,1566
test,1703
test,1326
test,1806
test,1431
control,1303
test,928
test,1591
control,1267
test,1152
test,1723
test,1429
test,2163
test,1331
control,1134
control,2231
test,1348
test,1470
control,1706
test,1339
test,1239
control,1779
test,1547
test,1194
control,1459
test,1685
test,768
control,1852
control,1437
test,1478
control,1701
control,1423
control,1607
test,1446
test,1938
control,1423
control,1188
test,1224
control,1384
test,1572
test,1242
test,1439
test,1725
test,1239
control,1121
test,1833
test,1438
control,1603
control,1373
control,2218
control,1925
test,1871
test,1704
test,1432
control,1249
test,1198
test,1447
control,1281
control,1828
control,1440
control,1750
control,1809
control,1133
control,1702
control,1040
test,1461
control,2414
test,1648
control,1155
control,1092
control,1816
test,1939
test,2063
test,1405
control,648
control,1635
control,1642
test,1777
control,1455
test,1312
test,1351
control,1612
test,1840
test,687
control,1546
test,1243
test,1949
test,1109
control,1696
control,1447
test,1476
test,1519
test,1324
test,1346
test,1512
control,1253
test,1570
control,1073
control,1292
control,1027
test,1360
control,1370
control,1405
control,1044
control,1449
test,1888
test,2017
test,1079
control,1370
test,1112
control,1304
control,2026
test,1662
control,1262
test,1582
control,1437
test,1855
control,1637
test,843
control,1066
test,1408
control,1459
test,1260
test,1538
test,1351
control,1311
control,1484
test,1661
control,2006
control,1540
control,1558
test,1857
control,1622
test,1503
test,1728
control,1244
control,2107
control,1450
control,1466
control,1465
control,1592
test,2181
control,1452
control,1127
test,1404
control,1472
control,1597
control,916
control,1275
test,1248
control,1088
control,1254
control,1853
control,2046
control,964
test,1745
control,1641
control,1413
test,1756
test,1520
test,1655
control,2024
control,1731
test,1267
test,1401
test,1538
test,1431
control,1582
control,2060
control,1908
test,1405
control,1279
control,1577
control,1605
control,2009
test,1711
control,1453
control,1927
control,1162
control,1665
test,1242
test,1380
control,1703
test,1582
control,925
test,1223
control,1457
control,1746
control,1506
control,1131
test,1770
test,1999
control,1292
test,1252
test,1924
test,1360
control,1407
control,769
test,962
test,1261
test,1418
control,1461
test,1630
control,1572
control,1487
control,1407
control,1923
test,2038
control,1930
control,1110
test,1630
control,1748
control,1509
control,1348
control,1258
control,1847
test,2177
control,1863
test,2021
control,1908
test,1498
control,1536
test,1444
control,1556
test,1535
test,1421
control,1437
test,1289
control,1713
test,1174
test,1317
control,1865
test,1458
control,1085
test,1486
control,1328
control,1386
test,1450
control,1639
control,1403
test,1103
control,1467
test,1289
test,1203
test,421
test,1391
test,1659
test,2124
test,1981
test,2176
control,1420
test,2063
test,1668
test,1735
control,2000
test,1496
test,1853
test,1427
test,1283
control,1474
control,1199
test,1895
test,1764
test,1211
test,1590
control,1542
test,1798
test,1745
test,1928
control,1347
control,979
control,1921
test,1061
control,1255
control,1757
control,1807
control,1590
control,1750
control,1175
test,1715
test,1925
control,1469
control,1626
control,1072
control,1481
test,1990
control,1611
test,1159
test,1659
control,1775
test,2059
test,1894
control,1799
control,1683
test,1628
test,2213
test,1713
test,1468
control,1446
control,1734
test,1486
test,1586
test,1311
test,986
control,1636
test,2151
control,1200
test,2193
test,1238
test,1766
control,1294
test,1166
control,799
control,1742
control,1083
test,1673
control,1386
test,1149
control,1765
test,1249
test,1781
test,934
control,1328
test,1393
control,916
control,1993
control,1580
test,1461
control,1400
test,1486
test,1570
control,979
control,1366
control,1471
test,1180
test,1551
test,1744
test,1582
test,1489
control,1826
test,1324
control,1424
control,1677
control,1606
control,1178
test,1681
control,1411
control,1217
control,947
control,1144
test,1347
test,1505
control,1678
test,1922
test,1417
control,2006
test,1270
test,1519
test,1542
control,1586
control,1794
control,1290
control,1527
control,1342
test,1600
test,2095
control,1310
test,1586
control,1280
control,1493
control,1326
control,1822
control,1645
control,1369
test,1869
control,1245
control,1783
test,2019
control,1467
control,1799
test,1677
control,1149
test,1990
control,1868
control,1574
control,1376
test,2072
control,1583
test,1803
test,1546
control,1515
control,1412
test,1182
test,1599
test,1873
test,1941
control,1400
test,1768
control,1417
test,1750
control,1262
control,1853
control,1159
test,1055
control,943
control,1290
test,1746
test,1727
test,820
test,1696
test,1445
control,1582
test,1945
control,1417
control,1752
test,1592
test,1320
test,1634
control,982
control,2109
control,2167
test,1407
test,1286
test,1237
test,1275
control,1299
control,1290
control,1766
control,1624
test,1988
control,1788
control,2254
test,2338
test,1658
control,1760
control,1320
test,1309
test,1197
control,1529
test,1668
control,1331
test,1350
control,1437
test,1858
test,1302
control,1288
control,1316
control,1966
control,1531
control,1384
test,1822
control,1444
control,1543
test,1706
control,1570
test,2009
test,1312
control,1595
control,1467
test,1623
test,1465
test,1528
test,1353
control,1252
test,1066
control,1855
test,1426
test,1593
control,1391
control,1680
test,1757
control,1383
control,1549
test,2046
control,1586
control,2183
control,1457
control,1286
test,2219
test,2041
test,1546
control,2051
control,927
test,1678
control,1284
control,1666
control,1242
test,1720
test,1223
test,1247
test,1698
test,1327
control,1542
test,1817
test,1733
test,1407
test,1114
test,1350
control,1476
test,1316
control,1415
control,1323
test,1539
test,1803
test,1226
test,1745
test,1810
control,1209
test,1309
test,2141
control,1656
control,1293
test,1984
control,2141
control,1135
control,1967
control,1441
test,1617
control,1838
test,1768
control,1583
test,2037
control,1506
test,1424
test,1583
test,2075
test,1193
test,1415
test,1787
test,1351
control,1674
test,1612
control,1372
test,1383
test,1567
control,1679
test,1598
test,1073
test,1636
test,1212
test,1469
test,1359
control,967
test,1279
control,1265
control,1824
control,1148
control,1708
control,1506
test,1403
test,553
test,1329
control,1782
test,1583
test,1710
test,800
test,1426
test,1822
test,1959
control,1017
test,1785
test,1836
control,1468
test,1797
control,1611
test,1188
test,1462
test,1837
control,1616
control,1839
control,720
control,1626
test,1651
control,1673
test,1571
control,1741
control,1856
test,1654
test,1498
control,1590
test,827
test,1521
test,1532
control,1972
control,1228
control,1107
test,897
control,1188
test,1163
test,1590
test,1747
control,1442
control,1208
test,1798
test,1374
control,1089
test,1521
test,1369
control,671
test,1702
control,1276
test,1160
control,1484
control,1732
control,1741
control,1586
test,1622
control,1746
control,1479
test,1382
test,1656
test,1845
control,1683
